true\pred,Azure Kingfisher,Barking Owl,Black Kite,Blue winged Kookaburra,Bush Stone curlew,Channel billed Cuckoo,Diamond Dove,Galah,Gouldian Finch,Great Bowerbird,Helmeted Friarbird,Hooded Parrot,Laughing Kookaburra,Magpie Goose,Masked Owl,Partridge Pigeon,Pheasant Coucal,Rainbow Bee eater,Red tailed Black Cockatoo,Sulphur crested Cockatoo,Tawny Frogmouth,Torresian Crow,Whistling Kite,Willie Wagtail
Azure Kingfisher,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Owl,1,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Black Kite,0,0,184,0,1,0,1,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,3,0
Blue winged Kookaburra,0,0,2,147,0,0,1,0,1,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0
Bush Stone curlew,0,0,0,0,94,0,0,0,0,2,0,1,2,0,0,0,0,1,1,0,0,0,0,0
Channel billed Cuckoo,0,0,0,0,2,68,0,0,0,2,0,0,2,0,1,0,0,0,0,3,0,2,0,0
Diamond Dove,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Galah,0,0,1,0,0,0,0,125,0,2,2,0,2,0,0,0,0,1,0,2,0,0,2,2
Gouldian Finch,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Bowerbird,0,0,0,2,0,0,0,1,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Helmeted Friarbird,0,0,0,0,1,2,0,0,0,2,129,0,0,0,0,0,0,0,0,1,1,1,0,0
Hooded Parrot,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Laughing Kookaburra,0,2,0,2,1,2,0,1,0,0,0,0,128,0,0,0,0,0,0,2,0,0,0,0
Magpie Goose,0,0,0,1,0,0,0,0,0,0,2,0,0,68,0,0,0,0,0,0,0,0,0,0
Masked Owl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,2,0,0,0
Partridge Pigeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Pheasant Coucal,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,82,0,1,0,1,1,0,0
Rainbow Bee eater,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,2,62,0,0,0,0,0,1
Red tailed Black Cockatoo,0,0,3,1,2,0,0,2,0,4,3,0,0,0,1,0,0,0,236,1,0,1,0,0
Sulphur crested Cockatoo,0,0,0,0,1,0,0,1,1,2,1,0,1,0,0,0,1,0,3,255,2,0,0,1
Tawny Frogmouth,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,0,1,0
Torresian Crow,0,0,0,0,2,6,2,0,0,5,1,2,5,0,0,0,4,0,0,0,2,187,1,3
Whistling Kite,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0
Willie Wagtail,0,3,3,3,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,3,2,1,268
