true\pred,Azure Kingfisher,Barking Owl,Black Kite,Blue winged Kookaburra,Bush Stone curlew,Channel billed Cuckoo,Diamond Dove,Galah,Gouldian Finch,Great Bowerbird,Helmeted Friarbird,Hooded Parrot,Laughing Kookaburra,Magpie Goose,Masked Owl,Partridge Pigeon,Pheasant Coucal,Rainbow Bee eater,Red tailed Black Cockatoo,Sulphur crested Cockatoo,Tawny Frogmouth,Torresian Crow,Whistling Kite
Azure Kingfisher,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
Barking Owl,0,151,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,4,0
Black Kite,1,0,209,0,5,0,3,4,0,3,1,0,0,0,6,0,6,2,4,0,0,5,13
Blue winged Kookaburra,0,4,0,134,3,6,0,0,1,0,7,0,13,1,0,2,1,1,0,0,2,0,0
Bush Stone curlew,16,14,10,1,74,0,0,0,0,6,2,0,0,0,8,21,0,1,0,12,0,3,1
Channel billed Cuckoo,0,0,0,7,0,19,0,2,0,1,1,0,9,0,1,0,0,0,3,0,0,0,0
Diamond Dove,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Galah,0,0,8,2,0,1,1,129,0,5,11,0,2,0,2,2,0,24,4,0,0,2,4
Gouldian Finch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Bowerbird,0,0,0,0,9,1,0,0,0,16,0,1,0,0,0,4,0,0,0,0,3,0,0
Helmeted Friarbird,2,2,1,2,4,0,0,0,1,7,55,0,1,0,0,1,3,3,0,0,4,0,0
Hooded Parrot,0,0,0,0,0,0,0,2,0,25,1,3,0,0,0,0,0,0,0,0,0,0,0
Laughing Kookaburra,0,7,1,3,2,3,0,16,0,0,2,0,98,0,0,2,1,0,2,0,1,0,1
Magpie Goose,0,0,0,2,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,1
Masked Owl,0,8,0,0,0,1,0,0,0,2,0,0,3,0,21,0,9,0,3,1,0,0,0
Partridge Pigeon,2,3,1,1,9,2,0,0,0,8,10,5,2,0,4,37,1,1,0,1,1,10,0
Pheasant Coucal,0,0,7,3,0,1,0,1,0,1,8,0,0,0,0,0,42,0,0,0,0,0,4
Rainbow Bee eater,0,0,2,1,0,0,0,6,0,0,3,0,0,0,1,0,0,271,5,0,0,4,0
Red tailed Black Cockatoo,0,0,0,6,0,14,0,3,0,5,1,0,13,0,1,0,0,2,268,0,0,0,0
Sulphur crested Cockatoo,0,8,0,4,2,12,0,0,0,10,3,0,10,0,2,7,8,4,3,27,0,0,2
Tawny Frogmouth,0,0,3,1,1,2,6,1,0,2,2,2,2,4,0,0,0,10,0,0,106,4,1
Torresian Crow,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
Whistling Kite,4,27,13,16,3,7,13,9,10,5,6,5,6,4,1,7,14,6,1,6,0,29,80
