species,precision,precision_95ci,recall,recall_95ci,f1,support,reliable
Partridge Pigeon,1.000,"[0.82, 1.00]",1.000,"[0.82, 1.00]",1.000,19,yes
Barking Owl,0.956,"[0.91, 0.98]",0.985,"[0.95, 1.00]",0.970,131,yes
Azure Kingfisher,0.960,"[0.80, 1.00]",0.960,"[0.80, 1.00]",0.960,25,yes
Magpie Goose,0.971,"[0.90, 1.00]",0.944,"[0.86, 0.98]",0.957,71,yes
Sulphur crested Cockatoo,0.935,"[0.90, 0.96]",0.959,"[0.93, 0.98]",0.947,269,yes
Willie Wagtail,0.964,"[0.94, 0.98]",0.928,"[0.89, 0.95]",0.946,291,yes
Red tailed Black Cockatoo,0.945,"[0.91, 0.97]",0.941,"[0.90, 0.97]",0.943,254,yes
Masked Owl,0.915,"[0.84, 0.96]",0.966,"[0.90, 0.99]",0.940,89,yes
Black Kite,0.930,"[0.89, 0.96]",0.949,"[0.91, 0.98]",0.939,196,yes
Tawny Frogmouth,0.909,"[0.84, 0.95]",0.965,"[0.91, 0.99]",0.936,114,yes
Blue winged Kookaburra,0.948,"[0.90, 0.98]",0.924,"[0.87, 0.96]",0.936,158,yes
Pheasant Coucal,0.941,"[0.87, 0.98]",0.919,"[0.84, 0.97]",0.930,87,yes
Great Bowerbird,0.907,"[0.83, 0.96]",0.946,"[0.88, 0.98]",0.926,93,yes
Helmeted Friarbird,0.914,"[0.85, 0.95]",0.927,"[0.87, 0.96]",0.920,137,yes
Torresian Crow,0.955,"[0.92, 0.98]",0.873,"[0.82, 0.91]",0.912,220,yes
Gouldian Finch,1.000,"[0.48, 1.00]",0.833,"[0.36, 1.00]",0.909,6,no
Galah,0.944,"[0.89, 0.98]",0.856,"[0.79, 0.91]",0.898,139,yes
Laughing Kookaburra,0.876,"[0.81, 0.92]",0.920,"[0.86, 0.96]",0.897,138,yes
Bush Stone curlew,0.861,"[0.78, 0.92]",0.921,"[0.85, 0.97]",0.890,101,yes
Rainbow Bee eater,0.873,"[0.77, 0.94]",0.873,"[0.77, 0.94]",0.873,71,yes
Whistling Kite,0.857,"[0.73, 0.94]",0.875,"[0.75, 0.95]",0.866,48,yes
Channel billed Cuckoo,0.828,"[0.73, 0.90]",0.900,"[0.81, 0.96]",0.862,80,yes
Hooded Parrot,0.818,"[0.48, 0.98]",0.900,"[0.56, 1.00]",0.857,10,yes
Diamond Dove,0.850,"[0.62, 0.97]",0.739,"[0.52, 0.90]",0.791,23,yes
