species,precision,precision_95ci,recall,recall_95ci,f1,support,reliable
Diamond Dove,1.000,"[0.16, 1.00]",1.000,"[0.16, 1.00]",1.000,2,no
Gouldian Finch,1.000,"[0.03, 1.00]",1.000,"[0.03, 1.00]",1.000,1,no
Hooded Parrot,1.000,"[0.03, 1.00]",1.000,"[0.03, 1.00]",1.000,1,no
Magpie Goose,1.000,"[0.54, 1.00]",1.000,"[0.54, 1.00]",1.000,6,yes
Partridge Pigeon,1.000,"[0.03, 1.00]",1.000,"[0.03, 1.00]",1.000,1,no
Rainbow Bee eater,1.000,"[0.75, 1.00]",1.000,"[0.75, 1.00]",1.000,13,yes
Sulphur crested Cockatoo,1.000,"[0.78, 1.00]",0.938,"[0.70, 1.00]",0.968,16,yes
Bush Stone curlew,1.000,"[0.66, 1.00]",0.900,"[0.56, 1.00]",0.947,10,yes
Tawny Frogmouth,0.900,"[0.56, 1.00]",1.000,"[0.66, 1.00]",0.947,9,yes
Helmeted Friarbird,0.944,"[0.73, 1.00]",0.944,"[0.73, 1.00]",0.944,18,yes
Blue winged Kookaburra,0.875,"[0.62, 0.98]",1.000,"[0.77, 1.00]",0.933,14,yes
Black Kite,0.842,"[0.60, 0.97]",1.000,"[0.79, 1.00]",0.914,16,yes
Laughing Kookaburra,0.882,"[0.64, 0.99]",0.938,"[0.70, 1.00]",0.909,16,yes
Willie Wagtail,1.000,"[0.86, 1.00]",0.833,"[0.65, 0.94]",0.909,30,yes
Galah,0.800,"[0.56, 0.94]",1.000,"[0.79, 1.00]",0.889,16,yes
Torresian Crow,0.800,"[0.56, 0.94]",1.000,"[0.79, 1.00]",0.889,16,yes
Masked Owl,0.875,"[0.47, 1.00]",0.875,"[0.47, 1.00]",0.875,8,no
Red tailed Black Cockatoo,0.789,"[0.54, 0.94]",0.938,"[0.70, 1.00]",0.857,16,yes
Barking Owl,0.647,"[0.38, 0.86]",1.000,"[0.72, 1.00]",0.786,11,yes
Channel billed Cuckoo,0.818,"[0.48, 0.98]",0.750,"[0.43, 0.95]",0.783,12,no
Great Bowerbird,0.833,"[0.36, 1.00]",0.714,"[0.29, 0.96]",0.769,7,no
Whistling Kite,1.000,"[0.40, 1.00]",0.500,"[0.16, 0.84]",0.667,8,no
Pheasant Coucal,1.000,"[0.29, 1.00]",0.333,"[0.07, 0.70]",0.500,9,no
Azure Kingfisher,1.000,"[0.03, 1.00]",0.200,"[0.01, 0.72]",0.333,5,no
Red Goshawk,0.000,"[0.00, 1.00]",0.000,"[0.00, 0.97]",0.000,1,no
